model,init,seed,n,eps,coarse_grid,k_fine,steps,energy_rel_drift,virial_0,virial_f,coarse_g4_0,coarse_g8_0,coarse_g16_0,fine_knn_all_0,fine_pk_0,fine_close_0,fine_vel_disp_0,fine_fof_0,d_coarse_g8_early,d_coarse_g8_mid,d_coarse_g8_late,d_coarse_g4_early,d_coarse_g4_late,d_coarse_g16_early,d_coarse_g16_late,d_hmr_early,d_hmr_late,status,message
direct_isolated,plummer3d,2010,256,0.05,8,16,600,0.0001527850305109759,1.6069475000765132,1.238309824184439,85.597412109375,5.796688079833984,0.215298593044281,1491.4272813717484,274275653.0118158,0.13926674439694262,1.479277860756759,154,-3.520092010498047,-2.459381103515625,-3.2210655212402344,-35.614013671875,-21.351318359375,-0.12113302946090698,-0.11859697103500366,0.19214364720057747,0.26979250620846446,ok,
direct_isolated,plummer3d,2011,256,0.05,8,16,600,0.00017203218019229397,1.638939489680444,1.3428853655083164,87.972412109375,5.663875579833984,0.207974374294281,1450.1742049573975,255463781.96319088,0.13803601502785334,1.4556760060155793,174,-2.7234458923339844,-3.233226776123047,-2.989593505859375,-28.222412109375,-34.708984375,-0.0971497893333435,-0.10292577743530273,0.14629124905196478,0.1568794077393892,ok,
direct_isolated,plummer3d,2012,256,0.05,8,16,600,0.0007540358372485059,1.8718291494568027,1.706913054597812,83.714599609375,5.402034759521484,0.1982678771018982,1317.4974233477997,277580625.8732196,0.12840262005858924,1.5504297011714572,158,-3.5526695251464844,-3.69268798828125,-3.4577598571777344,-45.230224609375,-38.562255859375,-0.10284322500228882,-0.1217460036277771,0.21665635567974256,0.2934187500979343,ok,
direct_isolated,plummer3d,2013,256,0.05,8,16,600,0.00035426452145958934,1.803314276065101,1.5546341859882022,81.943115234375,5.429042816162109,0.18031829595565796,1097.321816534665,245546023.45604813,0.11804917865523926,1.5195937706170788,170,-3.548248291015625,-4.450771331787109,-3.297710418701172,-38.275390625,-35.537841796875,-0.09883737564086914,-0.09977501630783081,0.20631518143696792,0.3003524927602129,ok,
direct_isolated,plummer3d,2014,256,0.05,8,16,600,0.0010633322552877997,1.9291234243325912,1.7945773342757572,78.62109375,4.49212646484375,0.1505117416381836,990.2633865135153,250672763.66027075,0.10045532157085942,1.5321275623607753,204,-2.9693336486816406,-3.6838722229003906,-3.4241485595703125,-41.646728515625,-43.4892578125,-0.06784969568252563,-0.10233044624328613,0.24085219393228902,0.6114739929661632,ok,
direct_isolated,plummer3d,2015,256,0.05,8,16,600,0.0008354947715682376,1.8918498893725202,1.7588385562947475,82.1318359375,5.2886810302734375,0.19365859031677246,1292.871933696167,256536848.69511455,0.12344449975111996,1.5424342208826995,169,-3.387439727783203,-3.9080810546875,-3.2183685302734375,-37.780517578125,-42.5693359375,-0.11332303285598755,-0.10192275047302246,0.1935086907203855,0.2612324453613583,ok,
direct_isolated,plummer3d,2016,256,0.05,8,16,600,0.0002882798626697253,1.725868385620243,1.4434613072514728,84.954833984375,6.433132171630859,0.21395152807235718,1546.7429342040355,266835542.46415943,0.15292740046838407,1.5433811791413363,151,-4.403900146484375,-4.31744384765625,-4.051677703857422,-36.443359375,-4.510498046875,-0.12563467025756836,-0.12705868482589722,0.2237884542581655,0.3116262550753436,ok,
direct_isolated,plummer3d,2017,256,0.05,8,16,600,0.0014673752068541219,1.9521041975748523,1.8643201570281553,75.933349609375,5.706722259521484,0.1719006896018982,1222.596152297656,303207300.9281505,0.12280701754385964,1.588415413592977,155,-4.446380615234375,-4.789379119873047,-4.364410400390625,-41.912109375,-34.947265625,-0.09248495101928711,-0.11421442031860352,0.293465899166703,0.7609545468694903,ok,
direct_isolated,plummer3d,2018,256,0.05,8,16,600,0.0005728006217968898,1.859128247507316,1.6813518918170482,72.1630859375,5.1753997802734375,0.19219374656677246,1356.6721095012058,274309218.240317,0.12490459598473536,1.4891907749750837,155,-3.071308135986328,-3.331298828125,-3.0660247802734375,-32.048095703125,-12.7568359375,-0.10154753923416138,-0.10582900047302246,0.20059449979317096,0.34126050226015886,ok,
direct_isolated,plummer3d,2019,256,0.05,8,16,600,0.00024913294701211364,1.658876469188454,1.3038986427961408,83.714599609375,6.179378509521484,0.2036389708518982,1357.00718716344,287872160.80534935,0.1273164148645535,1.4878445834570702,169,-3.805126190185547,-4.43408203125,-3.9328575134277344,-36.012451171875,-43.249755859375,-0.10703200101852417,-0.11653512716293335,0.18670413956186976,0.23191414878675476,ok,
direct_isolated,plummer3d,2020,256,0.05,8,16,600,0.0007720162192659556,1.8949494440275767,1.7640234010989981,76.03125,5.5888671875,0.1830902099609375,1189.4939381283998,273672232.6600727,0.12189679218967922,1.5196818713873133,161,-3.6377601623535156,-4.369083404541016,-3.9739112854003906,-31.176025390625,-26.752197265625,-0.10014444589614868,-0.1183972954750061,0.19734786709264457,0.2921175650015508,ok,
direct_isolated,plummer3d,2021,256,0.05,8,16,600,0.00020078509854538136,1.6080796163328297,1.2452641410353125,86.691162109375,6.417781829833984,0.212368905544281,1438.646424519323,246317678.11337245,0.14098328799067236,1.4987723700569422,187,-3.90325927734375,-3.5487022399902344,-3.9024009704589844,-33.15234375,-13.206787109375,-0.1081075668334961,-0.12014859914779663,0.16321390031986105,0.20889280355007178,ok,
direct_isolated,plummer3d,2022,256,0.05,8,16,600,0.00048825551590987054,1.8273540391238074,1.607087594910755,81.1318359375,5.3707122802734375,0.19317030906677246,1381.2684454362518,268627211.55756325,0.13303467728554835,1.5355899118214107,179,-2.993824005126953,-3.523426055908203,-3.0553436279296875,-34.995361328125,-12.0107421875,-0.09118157625198364,-0.11908984184265137,0.18041510155368534,0.27058018603220274,ok,
direct_isolated,plummer3d,2023,256,0.05,8,16,600,0.0016207117917732999,1.9410419785184903,1.85477300922921,80.52734375,5.89447021484375,0.1949453353881836,1396.6939930079975,264332982.86380398,0.13201163599569973,1.5732787752713648,167,-3.91619873046875,-3.7202186584472656,-3.7389564514160156,-33.44921875,-30.058837890625,-0.09805583953857422,-0.11759477853775024,0.21071547352675732,0.4655746450802938,ok,
direct_isolated,plummer3d,2024,256,0.05,8,16,600,0.0003223583072776084,1.7476803947603137,1.5227563271540443,84.066162109375,6.628719329833984,0.253872811794281,1717.327861787887,250299638.5750491,0.16303925378935094,1.549823862651523,152,-2.958526611328125,-3.366180419921875,-2.591869354248047,-27.033203125,-25.707763671875,-0.12850236892700195,-0.12091177701950073,0.1338158414777442,0.16480940059741142,ok,
direct_isolated,plummer3d,2025,256,0.05,8,16,600,0.00017607720483536082,1.6661360061878485,1.4105247896538822,82.96875,5.9951171875,0.1996917724609375,1350.69584932684,241676391.57684827,0.14410739191073918,1.449806952246894,150,-2.96295166015625,-3.0724029541015625,-2.9099769592285156,-27.37890625,-26.847900390625,-0.0919504165649414,-0.09548670053482056,0.12598628982081073,0.15325487747693967,ok,
direct_isolated,plummer3d,2026,256,0.05,8,16,600,0.0002533134022985567,1.7048684421850393,1.353079654208547,93.984375,6.550537109375,0.18529891967773438,1323.0363376658274,249868500.44371393,0.13092595011100952,1.4879950016955787,163,-4.403202056884766,-4.310886383056641,-3.8939361572265625,-43.883056640625,-44.6806640625,-0.09275633096694946,-0.10295701026916504,0.19449978936023876,0.26663776205009054,ok,
direct_isolated,plummer3d,2027,256,0.05,8,16,600,0.00023701337613439878,1.7348675070303197,1.480957130339279,84.423583984375,5.937038421630859,0.22859996557235718,1589.5268373574277,235550069.0468083,0.14392773502843761,1.478855166522971,157,-3.73138427734375,-3.404949188232422,-3.078033447265625,-39.37109375,-28.056640625,-0.1399068832397461,-0.1442856788635254,0.16938570327659214,0.18529487936821004,ok,
direct_isolated,plummer3d,2028,256,0.05,8,16,600,0.0001273010390949433,1.6375878023803225,1.3982123111891371,87.37109375,6.32366943359375,0.22789669036865234,1823.883439678963,253711251.943649,0.1600890507994333,1.4674294646056407,155,-3.2080078125,-2.23797607421875,-1.9908180236816406,-39.90625,46.165771484375,-0.0944976806640625,-0.060128748416900635,0.12626316281514322,0.26082036001581843,ok,
direct_isolated,plummer3d,2029,256,0.05,8,16,600,0.0005925830589260469,1.8350066710703572,1.6028376341994044,84.423583984375,5.976100921630859,0.19979137182235718,1215.5111192269212,316260038.24462867,0.12271662763466042,1.5195775459270418,161,-4.246868133544922,-4.719879150390625,-4.504180908203125,-35.158935546875,-39.736328125,-0.1240660548210144,-0.13904237747192383,0.21635681106863064,0.3262975871714225,ok,
