delta_early,G,density
-4,-0.17581018518518518,0.5679749677739727
-249,0.34205572289156627,0.10016340601012558
-350,0.37795769598470363,0.29046426348088433
-211,0.37940083979328165,0.4247663720113531
-410,0.5318202554744526,0.277343109664324
-22,0.1964285714285714,0.5216222231559366
-12,0.021162974683544278,0.5702161954516747
-265,0.29425578034682076,0.10459436443279117
-228,0.3567916666666666,0.4459667714734812
7,0.01235465116279072,0.57428966745291
-337,0.4438352826510721,0.3441655351859977
-273,0.17893976897689767,0.0944462493680279
-331,0.5233040796963947,0.2706335890969917
-403,0.35163288288288286,0.2726343354539553
-232,0.36683707124010556,0.4350532783133285
-285,0.3594504830917874,0.14351651624665598
-140,0.010149180728784568,0.031255164874816575
-49,0.1629679951690821,0.540720043498524
-116,0.28280601659751037,0.5155601040456455
-242,0.32221283783783783,0.4252412934093846
-272,0.4718616167023555,0.37869222825692456
-220,0.4073743796526055,0.3872414142383641
-258,0.3945075757575758,0.10032589385474298
0,0.0015723270440251569,0.5603995680539675
-175,0.4076144366197183,0.45141029294351764
-298,0.45710784313725494,0.13242738047412414
-396,0.3806896950092421,0.26516526153157244
-246,0.43581081081081086,0.42380891933926285
-281,0.4968055555555555,0.3775545958027479
-330,0.5416666666666666,0.17502203666572247
-236,0.2908976510067114,0.08920888254490701
-331,0.36373873873873874,0.16695799357443994
-336,0.47060940499040305,0.24136069677760733
15,0.11921616022099446,0.5501529707217911
-403,0.5391757246376812,0.21849401797977971
-105,0.2603802447552448,0.5058588455221713
-362,0.5131704980842912,0.2998460570177164
-318,0.4139056224899599,0.32200537901112286
-74,0.265625,0.5295490939603668
-86,0.21796594982078854,0.49542569422770966
-295,0.3270789748953975,0.17896894843123645
-332,0.49195868200836823,0.18308975430775734
-333,0.485655260707635,0.2271478695709854
-198,0.38361768802228413,0.46433213441692417
-249,0.36046348314606746,0.398507960613213
-66,0.14076834862385323,0.5136666959915867
-335,0.37531375502008035,0.3505834845154709
-388,0.528228591160221,0.22064722634084635
-325,0.34245076586433265,0.14413307450145726
-343,0.4381346711798839,0.3183624370164504
-327,0.49174412915851273,0.3048231955533291
-288,0.31465517241379315,0.11331384683498397
-14,0.1029874213836478,0.5643085055498955
-366,0.4932440476190476,0.32113729078431297
-341,0.410516713747646,0.2931984429858016
-383,0.4702284322820037,0.22890080084755968
-147,0.28047360248447206,0.48249680777401815
-87,0.31362612612612617,0.5305236555911961
-285,0.3867503369272237,0.12322126223950185
-226,0.2749267991986439,0.09626904601197055
-60,0.25,0.4950620193737354
1,0.03867827868852458,0.5651149575832648
-369,0.5190972222222222,0.22343477715762397
-329,0.4191033813747228,0.4043118657143463
-400,0.5319444444444444,0.27660093841803685
-240,0.36708656330749356,0.1306049604889145
-38,0.016942771084337394,0.5536155885126749
-248,0.24008685800604235,0.10182163342422709
-225,0.0891183782750048,0.07326839596185077
-335,0.37030951242829824,0.3032841942964448
-363,0.5198549723756906,0.2738684721973001
